Date,000001.SS,ES=F,NQ=F,YM=F,ZT=F,ˆ125904-USD-STRD,ˆAXJO,ˆBSESN,ˆBVSP,ˆDJI,ˆFCHI,ˆFTSE,ˆGDAXI,ˆGSPC,ˆGSPTSE,ˆHSI,ˆIBEX,ˆIXIC,ˆKS11,ˆMERV,ˆMXX,ˆN225,ˆNZ50,ˆRUT,ˆVIX
2005-01-03,,1206.25,1615.5,10750.0,104.75,,,,,,,,,,,,,,,,,,,,
2005-01-04,1242.7740478515625,1191.0,1582.5,10648.0,104.5625,,,,,,,,,,,,,,,,,,,,
2005-01-05,1251.93701171875,1183.25,1565.5,10587.0,104.5468978881836,,,,,,,,,,,,,,,,,,,,
2005-01-06,1239.4300537109375,1188.25,1563.0,10621.0,104.6093978881836,,,,,,,,,,,,,,,,,,,,
2005-01-07,1244.7459716796875,1186.25,1567.5,10599.0,104.5468978881836,,,,,,,,,,,,,,,,,,,,
2005-01-10,1252.4010009765625,1191.75,1568.0,10628.0,104.52339935302734,,,,,,,,,,,,,,,,,,,,
2005-01-11,1257.4620361328125,1184.0,1559.0,10558.0,104.52339935302734,,,,,,,,,,,,,,,,,,,,
2005-01-12,1256.9229736328125,1187.5,1568.0,10605.0,104.5468978881836,,,,,,,,,,,,,,,,,,,,
2005-01-13,1256.31396484375,1178.0,1550.0,10502.0,104.60160064697266,,,,,,,,,,,,,,,,,,,,
2005-01-14,1245.6199951171875,1183.75,1562.5,10547.0,104.5,,,,,,,,,,,,,,,,,,,,
2005-01-17,1216.6519775390625,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-18,1225.4539794921875,1195.75,1576.0,10620.0,104.4843978881836,,,,,,,,,,,,,,,,,,,,
2005-01-19,1218.1080322265625,1183.5,1542.5,10529.0,104.50779724121094,,,,,,,,,,,,,,,,,,,,
2005-01-20,1204.39404296875,1176.5,1522.5,10473.0,104.6093978881836,,,,,,,,,,,,,,,,,,,,
2005-01-21,1234.4759521484375,1168.5,1509.5,10393.0,104.71089935302734,,,,,,,,,,,,,,,,,,,,
2005-01-24,1255.7769775390625,1166.25,1491.0,10383.0,104.64839935302734,,,,,,,,,,,,,,,,,,,,
2005-01-25,1254.2340087890625,1169.75,1495.0,10466.0,104.60160064697266,,,,,,,,,,,,,,,,,,,,
2005-01-26,1241.9580078125,1173.25,1506.5,10488.0,104.53130340576172,,,,,,,,,,,,,,,,,,,,
2005-01-27,1225.8909912109375,1174.75,1509.0,10468.0,104.50779724121094,,,,,,,,,,,,,,,,,,,,
2005-01-28,1213.6729736328125,1174.75,1509.5,10447.0,104.60160064697266,,,,,,,,,,,,,,,,,,,,
2005-01-31,1191.822998046875,1181.75,1524.0,10485.0,104.53130340576172,,,,,,,,,,,,,,,,,,,,
2005-02-01,1188.9310302734375,1189.25,1529.5,10542.0,104.53910064697266,,,,,,,,,,,,,,,,,,,,
2005-02-02,1252.5,1193.25,1524.5,10585.0,104.49220275878906,,,,,,,,,,,,,,,,,,,,
2005-02-03,1242.3070068359375,1189.5,1511.5,10586.0,104.42970275878906,,,,,,,,,,,,,,,,,,,,
